,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,TIME
21,1070621,2037325,996655,1988359,810112,492211,1675904,2055837,1125153,1822105,1759658,1359858,1314085,1282950,1361974,626789,2022387,1434274,1732527,563185,772821,1517448,2305672,1566642,740437,1857054,1152291,2008742,1301261,762893,1432103,2202990,886082,862138,1994975,2161262,925548,1056863,1748533,1070319,1931518,1730412,2160085,1811733,1743970,1062789,1342014,1015880,1417182,816697,749434,708084,1747661,766527,1198092,1372579,1189972,1312154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0
22,1070621,2037325,996655,1988359,810112,492211,1675904,2055837,1125153,1822105,1759658,1359858,1314085,1282950,1361974,626789,2022387,1434274,1732527,563185,772821,1517448,2305672,1566642,740437,1857054,1152291,2008742,1301261,762893,1432103,2202990,886082,862138,1994975,2161262,925548,1056863,1748533,1070319,1931518,1730412,2160085,1811733,1743970,1062789,1342014,1015880,1417182,816697,749434,708084,1747661,766527,1198092,1372579,1189972,1312154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0
23,1330466,2831188,1302899,2643292,955487,679114,2404967,2687159,1495267,2342505,2434168,1864825,1827022,1511012,1893216,762776,2651410,2198814,2741719,685243,1202495,1799535,3267743,2238331,902742,2340351,1593199,3028583,1801820,924546,1710945,3105034,1164205,1024852,2930736,3090543,1073658,1066069,2185113,1071839,2845902,1915867,3184017,2099069,2158699,1637079,1587854,1283122,1968016,1252765,942612,862063,2030877,892799,1380543,1623983,1387855,1567862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
24,1182764,2379061,1071933,2298338,839388,582986,1886314,2287374,1358037,1975768,2002987,1607726,1577644,1242130,1510220,671666,2522521,1807786,2158040,558275,983813,1538678,2732838,1986546,809932,2109460,1398512,2258365,1633692,844083,1478191,2560588,962523,1013018,2502142,2682584,1012625,947360,2049583,899760,2433051,1864876,3003642,1797236,1768972,1274212,1382409,1065178,1712630,1015677,805592,760936,1741922,796016,1328891,1440371,1271436,1399921,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
25,1150874,2322741,1122190,2188058,873078,552188,1952526,2365882,1320821,2080046,1942874,1563525,1580335,1368453,1602521,732418,2227546,1653018,2100066,668219,1094917,1585521,2621552,1933129,728590,2151330,1380201,2204386,1626072,848885,1484138,2456308,1091105,969159,2477205,2487177,954330,1073128,2013623,936144,2521770,1936257,2727087,1763368,1977938,1413348,1474017,1196871,1645063,1054904,916730,862391,1842429,882960,1197607,1604234,1390720,1393622,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
26,1151915,2311831,1154911,2313513,900956,591301,1851590,2589874,1292643,2075265,1897054,1532832,1574372,1507434,1581878,723731,2389786,1546098,2017594,660466,1137874,1852422,2572663,1984069,763474,2294329,1379169,2339087,1645786,866959,1574653,2271071,989933,1050307,2469056,2496018,1047952,1186342,2144097,946728,2540649,2068586,2739140,1878731,2223075,1331630,1640715,1273257,1775577,970824,937785,881350,2024727,922642,1237748,1783111,1531255,1444162,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
27,1254772,2438953,1144821,2376858,919951,612004,2032333,2477557,1311493,2019319,1991442,1598646,1578604,1439864,1665545,747126,2383913,1768286,2208396,690230,1106330,1829741,2730760,1981861,774121,2314354,1351578,2049413,1635432,897016,1579060,2426281,1044708,987387,2504584,2598937,1058670,1127317,2075396,873049,2141547,2080111,2675768,1817677,2095491,1348638,1564181,1149614,1804820,983533,916392,833508,1924493,920527,1317597,1657470,1393078,1518132,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
28,1275968,2529500,1174474,2569836,1028241,630839,2134265,2599736,1376918,2213290,1995912,1705379,1620217,1542344,1639695,767922,2597527,1784233,2324027,695553,1095755,2036317,2714939,2089426,843179,2460197,1364406,2145021,1657295,949952,1566476,2688284,1016651,1113046,2492357,2613128,1211979,1191214,2236534,923989,2101029,2243798,2783458,1897619,2216551,1443537,1682473,1182228,1925826,1012619,910877,922409,2038394,993846,1728891,1697025,1468241,1650852,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
29,1221415,2337281,1160433,2387093,1025213,639605,1961130,2495589,1336797,2089127,1805410,1598038,1578805,1514487,1620966,761663,2742971,1589889,2220633,739930,1057701,1938252,2585295,1697298,857756,2443470,1370073,2114953,1529989,909530,1534985,2445112,1016760,1055564,2414335,2595358,1143899,1173980,2127304,868660,1897235,2108215,2639484,1846094,2164985,1324278,1580193,1165787,1881476,976949,847677,871806,1921844,973081,1770532,1572520,1414763,1590078,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0
30,1474669,2578701,1271704,2862427,1176321,720181,2423695,2806351,1569400,2525845,2130512,1882058,1763332,1487199,1924746,880573,3309939,1956239,2551129,859462,1167692,2106647,3105258,2085507,1058898,2688643,1543684,2330912,1774593,1002532,1654713,3047458,1172672,1153035,2821905,2967681,1263196,1171443,2332464,965297,2221312,2245200,3460895,2034218,2158334,1670505,1579564,1211265,2216848,1094530,962770,931946,1976068,970764,2172788,1665150,1416822,1877129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0
31,1494327,2734561,1367036,3054031,1180792,772535,2486485,3017399,1634679,2671973,2210319,1883360,1839083,1559959,1921900,931017,3381583,2107593,2640975,848294,1216077,2174790,3224520,2182628,1139649,2731121,1616716,2459907,1890304,1025480,1710000,3026865,1167333,1249391,3198804,3123941,1444799,1232205,2465831,1016639,2263775,2433109,3587767,2053473,2310995,1725762,1610749,1229273,2399946,1110387,1047379,1009908,1936186,1008260,2289374,1753907,1421008,2001027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0
32,1296610,2427096,1206529,2720988,1008081,686639,2186009,2924695,1436755,2398989,1989069,1670125,1682176,1633183,1817709,883777,2694766,1886335,2443730,829528,1039024,1877669,2856168,1874987,968650,2601359,1413050,2298713,1752601,984054,1601380,2815735,1122169,1067593,2773237,2675478,1195128,1233520,2122249,1021470,1931213,2224985,2609434,1831754,2347951,1544849,1762167,1199113,2102428,1027177,996181,959071,1964957,1050494,1531631,1754126,1396301,1701299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0
33,1385972,581165,1187594,2748415,1099772,724649,2203716,3103158,1535766,287762,2253326,1797185,1839370,1710498,1916181,977534,2817726,2381005,2689329,857552,1117427,1962844,3019343,1980300,982717,2839615,1592609,2529586,1906493,1178792,1636614,3086352,1268389,1149305,3100073,2818888,1241056,1224056,2316116,1116532,2131540,2333331,2790033,2119598,2441082,1573867,1772399,1219173,2145696,1127142,1039756,972889,2134565,1092066,1665134,1822176,1472000,1821361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0
34,1342135,2571379,1216437,2702319,1086010,739823,2189060,3143480,1543390,1733832,2185830,1708347,1816734,1644473,1899023,1022150,2595233,2018710,2903133,821936,1112431,1977875,2949245,2001680,880509,2920891,1508726,2512210,1850342,965109,1613254,2935133,1163217,1127030,3200371,2731998,1219603,1165305,2468346,1101945,2011824,2271132,2835541,2316896,2364623,1688866,1798513,1210895,2178826,1186083,1003133,948039,2003876,1080750,1562756,1791848,1444270,1800392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0
35,1694866,3417770,1656628,3650260,1351108,940754,3106522,4351004,2069021,3368777,3041545,2369591,2573204,1953950,2835415,1263028,3423738,2819589,3948208,1011039,1492197,2528053,4092008,2657981,1102067,3298462,2136378,3566268,2544416,1178771,1949999,4216867,1445503,1449406,4421433,3961782,1523521,1317492,3313110,1487436,2524485,2739871,4094305,3341519,2850116,2261512,2188234,1466439,2771262,1747448,1244813,1221084,2407008,1314662,2025326,2174454,1582450,2211114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
36,1495049,2931582,1172563,2999843,1155261,754870,2344364,3458799,1824176,2803135,2309091,2043197,2065846,1681287,2155900,1031929,2794561,2218731,2857111,830687,1230961,2110054,3351231,1958031,1050955,2662123,1837596,2627284,2087738,1088794,1583070,3271527,1166878,1385006,3604458,3316986,1319116,1096978,2845261,1137461,2096222,2425822,3753011,2546560,2302586,1722192,1768312,1226535,2273022,1506857,1079644,1075811,1950201,1129954,1833786,1924378,1398977,1896400,,,,,,,,,,,,
37,1255497,2637816,994382,2763117,1053136,650759,2105489,3005558,1474432,2718869,2042216,1763121,1749734,1712153,1761859,815415,2951495,1807326,2544055,713262,1165878,2022633,2848241,1762932,808937,2577311,1585120,2349573,1870217,1004699,1442563,2847076,1131186,1149700,3157670,2700266,1213554,1119639,2436565,986896,1813457,2315541,2996609,2127561,2393314,1661599,1924560,1231892,2165346,1125725,1004488,1018692,1800773,1076738,1526175,1857825,1344589,1766625,,,,,,,,,,,,
