,SALES,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,TIM
102,16348.377,0,0,0,0,0,0,1,0,0,0,0,103
103,18912.785,0,0,0,0,0,0,0,1,0,0,0,104
104,26618.154,0,0,0,0,0,0,0,0,1,0,0,105
105,39819.297,0,0,0,0,0,0,0,0,0,1,0,106
106,42964.258,0,0,0,0,0,0,0,0,0,0,1,107
107,38879.234,0,0,0,0,0,0,0,0,0,0,0,108
108,38728.797,1,0,0,0,0,0,0,0,0,0,0,109
109,49801.14,0,1,0,0,0,0,0,0,0,0,0,110
110,65906.76,0,0,1,0,0,0,0,0,0,0,0,111
111,42355.5,0,0,0,1,0,0,0,0,0,0,0,112
112,25585.951,0,0,0,0,1,0,0,0,0,0,0,113
113,18991.512,0,0,0,0,0,1,0,0,0,0,0,114
114,18263.932,0,0,0,0,0,0,1,0,0,0,0,115
115,20687.01,0,0,0,0,0,0,0,1,0,0,0,116
116,31870.23,0,0,0,0,0,0,0,0,1,0,0,117
117,44219.074,0,0,0,0,0,0,0,0,0,1,0,118
118,45997.027,0,0,0,0,0,0,0,0,0,0,1,119
119,44329.254,0,0,0,0,0,0,0,0,0,0,0,120
